states,actions
"[0.1564660403643354, 0.006135923151542766, -0.41873227445860817, -0.10031204561525442]",[0.6957681820776834]
"[0.15339807878856412, 0.006135923151542766, -0.4883838983554494, -0.08024963649219785]",[0.8116437857411497]
"[0.15033011721279282, 0.006135923151542766, -0.5441051974729261, -0.06419970919372986]",[0.5516068831281542]
"[0.15033011721279282, 0.003067961575771161, -0.43528415797834086, -0.20475784614359327]",[0.17881046807111756]
"[0.14726215563702155, 0.003067961575771161, -0.5016254051712359, -0.16380627691486893]",[-0.41942203111490683]
"[0.14726215563702155, 0.003067961575771161, -0.40130032413698924, -0.13104502153186104]",[-0.7859213752891517]
"[0.14419419406125028, 0.0, -0.47443833809815494, -0.2582340960140357]",[-0.6234362304597469]
"[0.14112623248547898, 0.0, -0.5329487492670886, -0.20658727681123423]",[-0.46031048503555955]
"[0.1380582709097077, 0.0, -0.5797570782022348, -0.1652698214489874]",[-0.2648279101539154]
"[0.1380582709097077, 0.0, -0.46380566256178835, -0.13221585715922402]",[0.25102841871107184]
"[0.1349903093339364, 0.0, -0.5244426088379956, -0.1057726857273451]",[0.4898014919597117]
"[0.1349903093339364, 0.0, -0.419554087070396, -0.08461814858191019]",[0.3017013954770179]
"[0.1349903093339364, 0.0, -0.3356432696563161, -0.06769451886552247]",[0.011580492394083153]
"[0.13192234775816514, 0.0, -0.4219126945136171, -0.05415561509241229]",[-0.1682913318626127]
"[0.12885438618239387, -0.003067961575771161, -0.49092823439945654, -0.1967225708625051]",[-0.263865022183586]
"[0.12885438618239387, -0.003067961575771161, -0.3927425875195656, -0.15737805668999272]",[-0.4314232394751311]
"[0.12578642460662257, -0.003067961575771161, -0.4675921488042176, -0.1259024453519828]",[-0.6437758678463896]
"[0.12578642460662257, -0.003067961575771161, -0.3740737190433743, -0.1007219562816033]",[-0.35583909209393455]
"[0.1227184630308513, -0.003067961575771161, -0.4526570540232626, -0.08057756502526559]",[0.13260094618288143]
"[0.1227184630308513, -0.003067961575771161, -0.36212564321860974, -0.06446205202021815]",[0.2754535405320495]
"[0.1227184630308513, -0.003067961575771161, -0.2897005145748883, -0.05156964161616884]",[0.058234409073750215]
"[0.11965050145508001, -0.003067961575771161, -0.3851584904484753, -0.041255713292940754]",[-0.20509155681847735]
"[0.11965050145508001, -0.003067961575771161, -0.30812679235878004, -0.03300457063434692]",[-0.14895639974189398]
"[0.11658253987930872, -0.003067961575771161, -0.39989951267558954, -0.02640365650748322]",[0.1087208359540338]
"[0.11658253987930872, -0.003067961575771161, -0.3199196101404711, -0.021122925205958154]",[0.2132690516212012]
"[0.11658253987930872, -0.003067961575771161, -0.2559356881123769, -0.016898340164772208]",[0.05822205141226223]
"[0.11351457830353745, -0.003067961575771161, -0.3581466292784645, -0.013518672131795029]",[-0.16605065804350805]
"[0.11351457830353745, -0.003067961575771161, -0.28651730342277126, -0.010814937705447392]",[-0.11575220914189187]
"[0.11044661672776616, -0.003067961575771161, -0.3826119215267818, -0.008651950164363598]",[0.12558380346607376]
"[0.11044661672776616, -0.003067961575771161, -0.3060895372214256, -0.006921560131502247]",[0.22535964127053154]
"[0.11044661672776616, -0.003067961575771161, -0.2448716297771405, -0.005537248105213166]",[0.07412175687733796]
"[0.10737865515199488, -0.003067961575771161, -0.3492953826102765, -0.004429798484181902]",[-0.1468592150927083]
"[0.10737865515199488, -0.003067961575771161, -0.279436306088221, -0.0035438387873512056]",[-0.09653594932051257]
"[0.10737865515199488, -0.003067961575771161, -0.2235490448705768, -0.002835071029892333]",[0.02099479567384236]
