states,actions
"[0.11658253987930872, -0.03681553890925526, -0.9097938596264497, -0.056098041381858366]",[-0.5844474003024648]
"[0.11351457830353745, -0.03681553890925526, -0.8812331664897233, -0.04487843310548101]",[-0.4708131610181074]
"[0.11044661672776616, -0.03681553890925526, -0.8583846119803429, -0.035902746484396175]",[-0.39821596324537]
"[0.10737865515199488, -0.03681553890925526, -0.8401057683728386, -0.02872219718750557]",[-0.39987765464904385]
"[0.1043106935762236, -0.03681553890925526, -0.8254826934868333, -0.022977757749998773]",[-0.4179782122765989]
"[0.10124273200045232, -0.03681553890925526, -0.8137842335780316, -0.01838220620001607]",[-0.41655678399666995]
"[0.09817477042468103, -0.0337475773334841, -0.8044254656509899, 0.13869231382855673]",[-0.06646845922477804]
"[0.09817477042468103, -0.0337475773334841, -0.6435403725207927, 0.11095385106284539]",[0.41628416030989357]
"[0.09510680884890975, -0.0337475773334841, -0.668230376805198, 0.08876308085027063]",[0.37673474799764195]
"[0.09203884727313846, -0.0337475773334841, -0.6879823802327225, 0.07101046468019945]",[-0.29128731835168253]
"[0.09203884727313846, -0.0337475773334841, -0.5503859041861778, 0.056808371744153874]",[-0.7500959415427334]
"[0.08897088569736719, -0.0337475773334841, -0.5937068021375067, 0.045446697395306046]",[-0.8367955897918495]
"[0.0859029241215959, -0.0337475773334841, -0.6283635204985698, 0.03635735791624484]",[-0.7276379788806128]
"[0.08283496254582462, -0.0337475773334841, -0.6560888951874198, 0.029085886333007238]",[-0.4189783949371832]
"[0.08283496254582462, -0.0337475773334841, -0.524871116149936, 0.023268709066400106]",[-0.29363223294346985]
"[0.07976700097005335, -0.03067961575771294, -0.5732949717085116, 0.172013046041684]",[-0.22573033843101467]
"[0.07976700097005335, -0.03067961575771294, -0.45863597736680983, 0.1376104368333415]",[0.05646920367037456]
"[0.07669903939428206, -0.03067961575771294, -0.5203068606820116, 0.11008834946667889]",[0.2549799833312498]
"[0.07669903939428206, -0.03067961575771294, -0.4162454885456093, 0.0880706795733488]",[-0.21590406164922238]
"[0.07669903939428206, -0.027611654181941336, -0.33299639083648724, 0.22385462244727705]",[-0.5601094685720954]
"[0.07363107781851078, -0.027611654181941336, -0.41979519145775424, 0.17908369795779322]",[-0.25634338515980337]
"[0.07363107781851078, -0.027611654181941336, -0.33583615316620374, 0.14326695836624026]",[0.1905732159061927]
"[0.07056311624273949, -0.027611654181941336, -0.4220670013215275, 0.11461356669300926]",[-0.03709088870894317]
"[0.07056311624273949, -0.024543692606170175, -0.33765360105722175, 0.245088932142977]",[-0.24028023136959367]
"[0.07056311624273949, -0.024543692606170175, -0.2701228808457774, 0.19607114571437023]",[0.0515945095149819]
"[0.0674951546669682, -0.024543692606170175, -0.3694963834651861, 0.15685691657151324]",[0.23220292292979228]
"[0.0674951546669682, -0.024543692606170175, -0.2955971067721488, 0.1254855332572049]",[-0.1541905805197421]
"[0.0674951546669682, -0.021475731030399015, -0.23647768541771885, 0.25378650539431646]",[-0.3278676695772339]
"[0.0674951546669682, -0.021475731030399015, -0.1891821483341749, 0.2030292043154418]",[-0.08495622373863376]
"[0.06442719309119693, -0.021475731030399015, -0.3047437974559033, 0.16242336345237618]",[0.16017175254408655]
"[0.06442719309119693, -0.021475731030399015, -0.24379503796472246, 0.12993869076188957]",[-0.053003622389788174]
"[0.06442719309119693, -0.021475731030399015, -0.19503603037177752, 0.10395095260952303]",[-0.49130708672103257]
"[0.06135923151542565, -0.018407769454627854, -0.30942690308598664, 0.23655884087617096]",[-0.4111368147491792]
"[0.06135923151542565, -0.018407769454627854, -0.24754152246878958, 0.18924707270093677]",[0.3143351322901379]
